,index,rating,employee_type,review,date_position,pros,cons,date,job title
0,0,5.0,Current Employee,Feet killer,"Oct 16, 2021 - Order Filler",Will loose weight very quickly,Long hours varying schedule no AC,2021-10-16, Order Filler
1,0,5.0,Former Employee,Great benefits,"Oct 16, 2021 - Pharmacist",Hard work but great benefits,A lot of work with minimal time,2021-10-16, Pharmacist
2,0,5.0,"Current Employee, more than 1 year",Busy,"Oct 16, 2021 - Area Manager",Pay benefits pay insurance employees,Lunch time clock brakes been,2021-10-16, Area Manager
3,0,5.0,Former Employee,Satisfied,"Oct 16, 2021 - Sales Associate",Team work is valuable & respected,"No set schedule, constantly changing",2021-10-16, Sales Associate
4,0,5.0,"Former Employee, more than 1 year",Good Option,"Oct 16, 2021 - Personal Shopper","Flexibility, positive environment, constant change in challenges",The work can sometimes get overwhelming when you feel as though you are the only one putting in the efforts to successfully satisfy the customer,2021-10-16, Personal Shopper
5,0,5.0,Current Employee,Pay,"Oct 16, 2021 - Overnight Stocker",Decent pay super nice people,The point system sucks lol,2021-10-16, Overnight Stocker
6,0,5.0,Current Employee,Great Company,"Oct 16, 2021 - Walmart Warehouse Associate",They care about you! Great benefits!,"Mandatory overtime, special during the holidays.",2021-10-16, Walmart Warehouse Associate
7,0,5.0,"Former Employee, more than 8 years",Great People,"Oct 16, 2021 - Plumber",Greaty Pay Great Hours Great Owners,No cons at all !,2021-10-16, Plumber
8,0,4.0,"Former Employee, less than 1 year",Walmart OGP Review,"Oct 16, 2021 - Online Grocery Pickup Associate",The pay was good for a summer job. The coworkers were good people to be around and work with. I worked morning shifts from 6am to 3pm.,There were at times when people would call out of work or we would be short staffed and orders were continuing to come in. It was fast paced so you had to always be doing something.,2021-10-16, Online Grocery Pickup Associate
9,0,4.0,Current Employee,"Good hours, pay, & benefits; stressful at times","Oct 16, 2021 - Personal Shopper",Decent pay; good hours & benefits; room to grow within the company; supportive management,Stressful at times; customers can be difficult to deal with; no recognition of hard work,2021-10-16, Personal Shopper
10,1,5.0,Current Employee,Feet killer,"Oct 16, 2021 - Order Filler",Will loose weight very quickly,Long hours varying schedule no AC,2021-10-16, Order Filler
11,1,5.0,Former Employee,Great benefits,"Oct 16, 2021 - Pharmacist",Hard work but great benefits,A lot of work with minimal time,2021-10-16, Pharmacist
12,1,5.0,"Current Employee, more than 1 year",Busy,"Oct 16, 2021 - Area Manager",Pay benefits pay insurance employees,Lunch time clock brakes been,2021-10-16, Area Manager
13,1,5.0,Former Employee,Satisfied,"Oct 16, 2021 - Sales Associate",Team work is valuable & respected,"No set schedule, constantly changing",2021-10-16, Sales Associate
14,1,5.0,"Former Employee, more than 1 year",Good Option,"Oct 16, 2021 - Personal Shopper","Flexibility, positive environment, constant change in challenges",The work can sometimes get overwhelming when you feel as though you are the only one putting in the efforts to successfully satisfy the customer,2021-10-16, Personal Shopper
15,1,5.0,Current Employee,Pay,"Oct 16, 2021 - Overnight Stocker",Decent pay super nice people,The point system sucks lol,2021-10-16, Overnight Stocker
16,1,5.0,Current Employee,Great Company,"Oct 16, 2021 - Walmart Warehouse Associate",They care about you! Great benefits!,"Mandatory overtime, special during the holidays.",2021-10-16, Walmart Warehouse Associate
17,1,5.0,"Former Employee, more than 8 years",Great People,"Oct 16, 2021 - Plumber",Greaty Pay Great Hours Great Owners,No cons at all !,2021-10-16, Plumber
18,1,4.0,"Former Employee, less than 1 year",Walmart OGP Review,"Oct 16, 2021 - Online Grocery Pickup Associate",The pay was good for a summer job. The coworkers were good people to be around and work with. I worked morning shifts from 6am to 3pm.,There were at times when people would call out of work or we would be short staffed and orders were continuing to come in. It was fast paced so you had to always be doing something.,2021-10-16, Online Grocery Pickup Associate
19,1,4.0,Current Employee,"Good hours, pay, & benefits; stressful at times","Oct 16, 2021 - Personal Shopper",Decent pay; good hours & benefits; room to grow within the company; supportive management,Stressful at times; customers can be difficult to deal with; no recognition of hard work,2021-10-16, Personal Shopper
20,2,4.0,Current Employee,Not a lot of room to grow.,"Oct 16, 2021 - Pharmacy Technician","Decent pay.
Good hours,.
Flexible scheduling. 
Ability to take time off.",No room to advance upwards.,2021-10-16, Pharmacy Technician
21,2,5.0,"Current Employee, less than 1 year",Yeah,"Oct 15, 2021 - Service Technician",Great job and company to work for.,Bad management from higher ups are lazy.,2021-10-15, Service Technician
22,2,5.0,"Current Employee, more than 1 year",A very good position,"Oct 15, 2021 - Apparel Sales Associate",They have a good salary and good people.,Long hours and rude customers.,2021-10-15, Apparel Sales Associate
23,2,5.0,"Current Employee, less than 1 year",Deli,"Oct 15, 2021 - Associate",Easy job for new workers,Sedgwick insurance company is bad,2021-10-15, Associate
24,2,5.0,Current Employee,Good,"Oct 15, 2021 - Sales Advisor",Good teamwork and excelent team,Long hours but irs cab be managle,2021-10-15, Sales Advisor
25,2,5.0,Current Employee,My experience,"Oct 15, 2021 - Sales Associate/Cashier",Get to interact with people,When the day is slow,2021-10-15, Sales Associate/Cashier
26,2,5.0,"Former Employee, less than 1 year",Great friendly environment,"Oct 15, 2021 - ECommerce Personal Shopper","Great people, benefits, and employee friendly practices.","Can get busy at the drop of a hat, customer can be a bit unhinged at times.",2021-10-15, ECommerce Personal Shopper
27,2,5.0,"Current Employee, less than 1 year",Cashier experience,"Oct 15, 2021 - Part Time Cashier","Very clean
Great environment
Got paid well","Rude attitudes
Low Maintenance 
Not organized",2021-10-15, Part Time Cashier
28,2,5.0,"Current Employee, less than 1 year",Really great,"Oct 15, 2021 - Pharmacy Technician",Great benefits and flexible hours.,No training in the pharmacy,2021-10-15, Pharmacy Technician
29,2,5.0,Former Employee,Great benefits,"Oct 16, 2021 - Pharmacist",Hard work but great benefits,A lot of work with minimal time,2021-10-16, Pharmacist
30,3,4.0,"Current Employee, more than 5 years",It's what you make it,"Oct 15, 2021 - Sales Associate","•Store culture
•Good pay
•Easy to move up in company","•Rude customers
•Can be stressful
•management can make or break store",2021-10-15, Sales Associate
31,3,4.0,"Current Employee, more than 10 years",Walmart Employment,"Oct 15, 2021 - Academy Coach","Innovative 
Excellent career growth potential
Excellent benefits
Fast paced environment",Hours can be very long,2021-10-15, Academy Coach
32,3,4.0,"Former Employee, more than 1 year",Job,"Oct 16, 2021 - E-commerce",Breaks Benefits One hour lunch Experience Uniforms,"Management
Rate
Everything is on a rush basis",2021-10-16, E-commerce
33,3,5.0,Current Employee,Good Place,"Oct 14, 2021 - Stocker",Nice environment to work in,Hard for employees to advance,2021-10-14, Stocker
34,3,5.0,"Current Employee, more than 1 year",Internet Connectivity issues!,"Oct 14, 2021 - Digital Coach Manager",Benefits is good. Lots of room to grow.,Most of the Management employees does not have a degree at all instead they have seniority in order to get to management.,2021-10-14, Digital Coach Manager
35,3,5.0,"Current Employee, more than 3 years",Cashier,"Oct 14, 2021 - Cashier","Benefits, good hours, good promotion",You never just work one department,2021-10-14, Cashier
36,3,5.0,"Former Employee, more than 1 year",Yes,"Oct 14, 2021 - Sales Associate/Cashier",Ok health insurance for the pay,Not a great working energy,2021-10-14, Sales Associate/Cashier
37,3,5.0,Former Employee,Work,"Oct 15, 2021 - Technician",Money was good and easy job,People in the job don’t like to help when possible,2021-10-15, Technician
