,rating,employee_type,review,pros,cons,date,job title
0,5.0,Current Employee,great place to work and grow,"good salary, outstanding benefits and great work culture",big company problem applies here too,2021-11-24, Software Engineer
1,5.0,"Current Employee, more than 3 years","Tons of Opportunity, in your Hands","Working at Comcast has given me the opportunity to develop myself; take the time to grow and learn, and that was really important to me during the time in my life when I joined the company. If you have the drive and ambition, there are a ton of ways in which you can grow into a leader if that's what you want to be. I took advantage of the continued education benefit and am finishing my masters degree now... I also joined a couple of the employee resource groups which offer seminars and networking events that support your professional profile. Listen, I'm not a total nerd. The point of my post is that this isn't a company you join and just stay stale within. They encourage your growth, but it's up to you to make it happen. Not only this - it's pretty exciting. We're busy and we have big jobs to do. My salary is in the top percentile for my industry but not only this, I again get the continued education (which is ~$6K/year) plus free cable/internet, top health care benefits and a truly balanced lifestyle - which is rarely the case within the Tech industry.","Telling people you work at Comcast triggers 2 typical responses: 1) A big hatred rant on customer service 2) A how do I get my foot in the door? 

The reputation of the company is difficult, but the style of the company is to stay humble - I've never seen the company defend themselves against the harmful and discrediting news that exists. I personally think they should defend themselves a little more - they are between a rock and a hard place in many instances of service. I personally experienced visiting someone's home where the issues they were having with their connection was due to a tree root growing into the cable lines which had been their for over 20 years. Things like that cannot be diagnosed over a phone call. It's hard work in the field for sure. Being a part of the corporate side sometimes we're too disconnected from what's happening on the frontline. So I think the size of the organization comes with its complications, but again if you're a working professional looking for an exciting, robust and sexy career, you can comfortably have it here.",2015-02-28, Marketing Manager
2,4.0,"Former Employee, more than 1 year",This big company is stable… but it’s all politics in the end.,"Job security. Hit your numbers and you’ll keep your job. Customers come in and they’re already there so selling is easier, if you’ve ever done sales where you chase you understand.",It’s hard to get answers to things from upper management. I had an amazing manager who would get a lot of answers others couldn’t but he wasn’t my manager the whole time. It’s just frustrating when working for BIG corporate America.,2021-11-11, Retail Sales Representative
3,4.0,"Current Employee, more than 10 years",Great Company to work for Good Benefits you get out what you put in,"Great Benefits compared to other companies 
A lot of time off once you have been working for several years
Ok pay but they can be below market value for some jobs. If coming into the company as a new employee seek to come in at a higher rate if unsatisfied with their first offer.",some jobs pay lower than industry rates. To make the most of things need to change jobs and seek promotions or leave and comeback at a higher rate of pay. If you stay in the company and don't do those things your salary may have limited growth to yearly standard merit increases.,2021-11-21, Network Analyst
4,3.0,Current Employee,"Fake culture, Toxic leadership","Benefits, vacation time, discounts on home services, flexible hours","Micro-managed, everyone cheats and is hush-hush about it. Your main competition is your coworkers and all the hoops you have to jump through to get a sale through is exhausting. Management is not chosen by who is best fit for the job rather office politics and success as a sales rep— which doesn’t equate to being a great leader. So much negativity, condescending, unfair treatment and sly insults that it affects your mental health. It’s sad because I like Comcast and want them to be a better company but the sales department is very toxic. There are a few great people here left but at the end of the day, you’re a number and training isn’t helpful or thorough enough to help do your job adequately without being somewhat sloppy with your orders and through shady prospecting tactics. Comcast has a bad reputation because of the sales culture and how you’re basically told to hurry up get sales across. Be prepared to work incredibly hard with how much internal challenges that are present — micromanaging, poor training, complex rules and regulations, etc.",2021-11-02, Senior Business Account Executive
5,1.0,"Former Employee, more than 5 years",Stressful environment and shity customers,"- Discounted Cable
- Work from Home (if you like that)","- Constantly Changing for the Worse ""The C in Comcast stands for Change""
- Lack of support
- Horrible Mental Health Care. 
- Horrible Customers
- Mixed Bag Co-Workers
- Systems that you rely on for work Barely work.
- Non Unified Call Grading System. 
- Sales are Manditory even in Troubleshooting / Technical Support Positions 
- Because of Large Covered Area No Breaks in Calls even to Notate Accounts. 
- Be Ready to Fix Other Reps Mistakes
- Be Prepared to get Messed over if you wanted to do Power Shift.",2021-11-10, Accouny Executive
6,4.0,"Current Employee, more than 1 year",My Opinion,"-Great, fun, open, and inclusive company culture. 
-Quarterly bonus
-Fantastic medical benefits, even pet health insurance
-matching for 401k and IRA 
-The company will try to relocate you before resorting to layoffs
-Essential services (pandemic proof)
-Committed to constantly evolving to meet the changes of the industry
-Promotes from within mostly","-Most employees start at entry level since the company prefers to promote from within with a rate of over 80%.
-Pay is generally close to the national average so if you live in an expensive city, don't expect them to adjust for the location.",2021-11-16, Supply Chain Professional
7,5.0,"Current Employee, more than 3 years",Great place to work,Great Benefits and pay. Very flexible and lots of paid time off that you don't get punished for using.,It can be very Mentally stressful when first starting out or on busy days which are few and far between. Once you get it down though the job is relatively easy.,2021-11-23, Subject Matter Expert
8,5.0,"Current Employee, more than 10 years",Great company to work for,Comcast is at the forefront of technology connecting people and I get to be a part of it. The job offers a great deal of freedom and the work changes constantly. Comcast has a very competitive benefits package.,Maintaining cable infrastructure can lead to some long hours when storms or accidents occur. Its part of the job.,2021-11-22, Network Maintenance Technician
9,5.0,"Current Employee, more than 3 years",Great Company to work for!,"Great Benefits 
Great Perks
Flexible
Supportive
Great events
Great work environment",None that I can think of at this moment,2021-11-24, Campus Operations Ambassador
10,5.0,Current Employee,great place to work and grow,"good salary, outstanding benefits and great work culture",big company problem applies here too,2021-11-24, Software Engineer
11,5.0,"Current Employee, more than 3 years","Tons of Opportunity, in your Hands","Working at Comcast has given me the opportunity to develop myself; take the time to grow and learn, and that was really important to me during the time in my life when I joined the company. If you have the drive and ambition, there are a ton of ways in which you can grow into a leader if that's what you want to be. I took advantage of the continued education benefit and am finishing my masters degree now... I also joined a couple of the employee resource groups which offer seminars and networking events that support your professional profile. Listen, I'm not a total nerd. The point of my post is that this isn't a company you join and just stay stale within. They encourage your growth, but it's up to you to make it happen. Not only this - it's pretty exciting. We're busy and we have big jobs to do. My salary is in the top percentile for my industry but not only this, I again get the continued education (which is ~$6K/year) plus free cable/internet, top health care benefits and a truly balanced lifestyle - which is rarely the case within the Tech industry.","Telling people you work at Comcast triggers 2 typical responses: 1) A big hatred rant on customer service 2) A how do I get my foot in the door? 

The reputation of the company is difficult, but the style of the company is to stay humble - I've never seen the company defend themselves against the harmful and discrediting news that exists. I personally think they should defend themselves a little more - they are between a rock and a hard place in many instances of service. I personally experienced visiting someone's home where the issues they were having with their connection was due to a tree root growing into the cable lines which had been their for over 20 years. Things like that cannot be diagnosed over a phone call. It's hard work in the field for sure. Being a part of the corporate side sometimes we're too disconnected from what's happening on the frontline. So I think the size of the organization comes with its complications, but again if you're a working professional looking for an exciting, robust and sexy career, you can comfortably have it here.",2015-02-28, Marketing Manager
12,4.0,"Former Employee, more than 1 year",This big company is stable… but it’s all politics in the end.,"Job security. Hit your numbers and you’ll keep your job. Customers come in and they’re already there so selling is easier, if you’ve ever done sales where you chase you understand.",It’s hard to get answers to things from upper management. I had an amazing manager who would get a lot of answers others couldn’t but he wasn’t my manager the whole time. It’s just frustrating when working for BIG corporate America.,2021-11-11, Retail Sales Representative
