,rating,employee_type,review,pros,cons,date,job title
0,5.0,Former Employee,So much good like,Nice people for work with,Not many monies left for wife,2021-10-12, Cashier
1,5.0,"Former Employee, less than 1 year",From an Asst Store Manager,"Advancement opportunities, great at developing skills, great place to learn a skill and grow your resume, or grow with the company.","Understaffing issues negatively affects all parts of their business. However, Walmart has increased their minimum hourly rate with hopes to attract more committed employees, and retain better employees.",2015-06-02, Assistant Store Manager
2,5.0,"Current Employee, more than 10 years",Big enough to get lost or hide out in.,"Size and scope of the enterprise means that whatever your niche is, there is likely a team or product that wants your specialization. Living near the corporate headquarters is definitely a selling point. Northwest Arkansas was amazing when I first started and has only kept getting better.","It's a retailer not an IT company. It's got that baked into its bones and it shows sometimes with the decision/procurement process. Tech debt is pretty high in some areas and often it won't be addressed due to penny wise, pound foolish thinking. Northwest Arkansas and by proxy the Bentonville campus is liberal for the South but conservative for the tech industry standards. Sometimes people are waaaaayyyyy out of step with that reality and either want the Good Old Boy days to come back or can't understand why their deeply held views are labelled as being Social Justice Warrior-esque.",2021-11-11, Senior Staff Software Engineer
3,2.0,Former Employee,served my time in Wally World,"Your typical soulless grind to earn Walmart another dollar of off my back. We're expendable, as I was told by a female Troll of a supervisor. Fantastic way to demonstrate how we are not valued as human beings or even respected out of decency.

 The job paid decently for the infamously cheap employer area and the hours were plentiful, albeit only because i had open availability. The insurance and benefits were terrible from what i heard, so i did not bother to sign up for any when my 6 months came up. The supervisors were nice and respectable, so that was a plus. Most of the coworkers were fine people, with the exception of one dwarf.

Suffice to say i did not do well in my role and was fired eventually, but i did not despair but rejoice as I was once more free and i laid my head down with a satisfied smile.",Start of shift and the dawn of the next day.,2021-11-26, Nunya Business
4,4.0,"Current Employee, more than 5 years",Change is the only constant thing at Walmart,Endless opportunities for growth and promotions or movements into new areas of the business that you will gain experience and further leverage to know the business and be successful. Bonus payout tied to performance.,"Different orgs have different priorities and moving from one to another (such as operations to HR/Global people) you will find that topics in the office your former team would consider marginal and petty are actively embraced to enable associates who are insubordinate and require you earn their respect when you come in at a leadership level…in operations the associates are taught to act with urgency and move forward and take the guidance of leadership, regardless of how new they are to your team or not.",2021-11-03, Director
5,2.0,Current Employee,Could be a lot better,There’s job security in the sense that retail is an industry that won’t be going anywhere for the foreseeable future. If you’re young the pay is okay.,"Pay is static through positions middle management like team leads. It’s not based on skill or how well you do, everyone gets paid pretty much the same unless you work on food side. Company does not pay holiday pay, you have to use your own PTO if you’d like to be paid the two days of the year the stores are closed ( thanksgiving and Christmas). The scheduling across all positions is much less than flexible than in the past. Team leads pretty much run the store, and if you close the store, it very well ends up as you running half of the store for $19/HR, which is just chump change for doing a job that used to pay 50-60k in salary. Overall not worth it.",2021-11-07, Electronics and Entertainment Team Lead
6,1.0,"Former Employee, more than 1 year",Wal-Mart universe upside down backwards,Not working hard gets you rewarded. Training is only used in testing not actual daily performance. If you go to jail because of something you did at this job you are welcomed back.,"All ways do what they tell you or get voted off the island so to speak. It's takes one of your  piers 1 manager, 1 upper management to comment write you up. to get rid of you if they find a reason. Or simply clock in and out wrong on time clock, seconds count too. This sets you up to get fired quickly.For example if a associate stabbed some one with a knife and  goes to jail you'll get rehired back. Clock in and out wrong they won't ever hire you back again. This was a actual Instance that occurred while working there. You may be asked to do 5 different jobs none which you were hired for. No manager will back you up or fix anything you have a problem with. I went in a happy angel walked out soulless demon who hates people. But this is what Wal-Mart does to you and type of people who shop there contribute. Only leaving will you become a happy person again. Give Wal-Mart-5 stars for so many different reasons.",2021-11-25, Stocker
7,3.0,"Former Employee, less than 1 year",Turnover high,"I’ll be forever grateful they hire people over 60. I couldn’t get a response from other local companies despite an excellent recent employment record. 

 The hourly crew on my shift was great, funny and supportive, as long as you weren’t a slacker.

Every week we got free bakery goods in the break room.","Other than that, it could be a nightmare. The work was extremely physical. I expected that but not the unsafe conditions. Example: When unloading delivery trucks, we were often doing unsupported heavy lifting above our heads. And there were always trip hazards around our feet. 

The HVAC system in the back died and it took them 2 weeks (Fla in summer) before they brought us fans. I had to change into dry clothes on my lunch break. BTW, employees use the public restrooms. There aren’t any behind the scenes. 

Training was too generic, nothing specific to the job. I wasn’t even given a box cutter the first day I was stocking on the floor! I saw that happen to many other newbies. We were supposed to make marks on boxes we didn’t finish but weren’t provided markers. 

Pay was better than fast food, $11, but unfair considering all the job entailed.",2021-11-21, Grocery Stocker
8,4.0,"Current Employee, less than 1 year",Better then expected.,"*Reasonable Current Management
*Friendly but Professional Management
*Pleasant coworkers for the moment.
Can trust Dave and Tom, their performance is so exceptional that we all gain bonuses and benefits, and they advocate for our needs heavily.","Extremely rude, unreasonable, and hostile customers, making you have to be skeptical of their intentions even with something as benign as getting a car for them when you're not supposed to leave your post due to position.
Coworkers rarely know what their job entails, so whoever steps in to cover Self Checkout rarely knows that they need to watch the customer, not check them out at the front desk,which let's people easily steal.
Corporate is extremely disconnected from what it's like and what's needed to actually keep the store running and back backwards policies and requirementsthat run quality to the ground, or don't consider lack of staffing or minimal staffing situations.",2021-11-06, Asset Protection Associate
9,4.0,"Former Employee, more than 1 year",great,"I enjoy using the mass email blast to remind my clients about promotions, discounts, etc. i think it's definitely worth the monthly spend! it keeps my day-to-day business steady and organized.","When an appointment is upcharged during service , the amount due is reverted back to the original booking causing the business to lose money.",2021-11-26, Customer Service Representative
10,5.0,Former Employee,So much good like,Nice people for work with,Not many monies left for wife,2021-10-12, Cashier
11,5.0,"Former Employee, less than 1 year",From an Asst Store Manager,"Advancement opportunities, great at developing skills, great place to learn a skill and grow your resume, or grow with the company.","Understaffing issues negatively affects all parts of their business. However, Walmart has increased their minimum hourly rate with hopes to attract more committed employees, and retain better employees.",2015-06-02, Assistant Store Manager
12,5.0,"Current Employee, more than 10 years",Big enough to get lost or hide out in.,"Size and scope of the enterprise means that whatever your niche is, there is likely a team or product that wants your specialization. Living near the corporate headquarters is definitely a selling point. Northwest Arkansas was amazing when I first started and has only kept getting better.","It's a retailer not an IT company. It's got that baked into its bones and it shows sometimes with the decision/procurement process. Tech debt is pretty high in some areas and often it won't be addressed due to penny wise, pound foolish thinking. Northwest Arkansas and by proxy the Bentonville campus is liberal for the South but conservative for the tech industry standards. Sometimes people are waaaaayyyyy out of step with that reality and either want the Good Old Boy days to come back or can't understand why their deeply held views are labelled as being Social Justice Warrior-esque.",2021-11-11, Senior Staff Software Engineer
13,2.0,Former Employee,served my time in Wally World,"Your typical soulless grind to earn Walmart another dollar of off my back. We're expendable, as I was told by a female Troll of a supervisor. Fantastic way to demonstrate how we are not valued as human beings or even respected out of decency.

 The job paid decently for the infamously cheap employer area and the hours were plentiful, albeit only because i had open availability. The insurance and benefits were terrible from what i heard, so i did not bother to sign up for any when my 6 months came up. The supervisors were nice and respectable, so that was a plus. Most of the coworkers were fine people, with the exception of one dwarf.

Suffice to say i did not do well in my role and was fired eventually, but i did not despair but rejoice as I was once more free and i laid my head down with a satisfied smile.",Start of shift and the dawn of the next day.,2021-11-26, Nunya Business
14,4.0,"Current Employee, more than 5 years",Change is the only constant thing at Walmart,Endless opportunities for growth and promotions or movements into new areas of the business that you will gain experience and further leverage to know the business and be successful. Bonus payout tied to performance.,"Different orgs have different priorities and moving from one to another (such as operations to HR/Global people) you will find that topics in the office your former team would consider marginal and petty are actively embraced to enable associates who are insubordinate and require you earn their respect when you come in at a leadership level…in operations the associates are taught to act with urgency and move forward and take the guidance of leadership, regardless of how new they are to your team or not.",2021-11-03, Director
15,2.0,Current Employee,Could be a lot better,There’s job security in the sense that retail is an industry that won’t be going anywhere for the foreseeable future. If you’re young the pay is okay.,"Pay is static through positions middle management like team leads. It’s not based on skill or how well you do, everyone gets paid pretty much the same unless you work on food side. Company does not pay holiday pay, you have to use your own PTO if you’d like to be paid the two days of the year the stores are closed ( thanksgiving and Christmas). The scheduling across all positions is much less than flexible than in the past. Team leads pretty much run the store, and if you close the store, it very well ends up as you running half of the store for $19/HR, which is just chump change for doing a job that used to pay 50-60k in salary. Overall not worth it.",2021-11-07, Electronics and Entertainment Team Lead
16,1.0,"Former Employee, more than 1 year",Wal-Mart universe upside down backwards,Not working hard gets you rewarded. Training is only used in testing not actual daily performance. If you go to jail because of something you did at this job you are welcomed back.,"All ways do what they tell you or get voted off the island so to speak. It's takes one of your  piers 1 manager, 1 upper management to comment write you up. to get rid of you if they find a reason. Or simply clock in and out wrong on time clock, seconds count too. This sets you up to get fired quickly.For example if a associate stabbed some one with a knife and  goes to jail you'll get rehired back. Clock in and out wrong they won't ever hire you back again. This was a actual Instance that occurred while working there. You may be asked to do 5 different jobs none which you were hired for. No manager will back you up or fix anything you have a problem with. I went in a happy angel walked out soulless demon who hates people. But this is what Wal-Mart does to you and type of people who shop there contribute. Only leaving will you become a happy person again. Give Wal-Mart-5 stars for so many different reasons.",2021-11-25, Stocker
17,3.0,"Former Employee, less than 1 year",Turnover high,"I’ll be forever grateful they hire people over 60. I couldn’t get a response from other local companies despite an excellent recent employment record. 

 The hourly crew on my shift was great, funny and supportive, as long as you weren’t a slacker.

Every week we got free bakery goods in the break room.","Other than that, it could be a nightmare. The work was extremely physical. I expected that but not the unsafe conditions. Example: When unloading delivery trucks, we were often doing unsupported heavy lifting above our heads. And there were always trip hazards around our feet. 

The HVAC system in the back died and it took them 2 weeks (Fla in summer) before they brought us fans. I had to change into dry clothes on my lunch break. BTW, employees use the public restrooms. There aren’t any behind the scenes. 

Training was too generic, nothing specific to the job. I wasn’t even given a box cutter the first day I was stocking on the floor! I saw that happen to many other newbies. We were supposed to make marks on boxes we didn’t finish but weren’t provided markers. 

Pay was better than fast food, $11, but unfair considering all the job entailed.",2021-11-21, Grocery Stocker
18,4.0,"Current Employee, less than 1 year",Better then expected.,"*Reasonable Current Management
*Friendly but Professional Management
*Pleasant coworkers for the moment.
Can trust Dave and Tom, their performance is so exceptional that we all gain bonuses and benefits, and they advocate for our needs heavily.","Extremely rude, unreasonable, and hostile customers, making you have to be skeptical of their intentions even with something as benign as getting a car for them when you're not supposed to leave your post due to position.
Coworkers rarely know what their job entails, so whoever steps in to cover Self Checkout rarely knows that they need to watch the customer, not check them out at the front desk,which let's people easily steal.
Corporate is extremely disconnected from what it's like and what's needed to actually keep the store running and back backwards policies and requirementsthat run quality to the ground, or don't consider lack of staffing or minimal staffing situations.",2021-11-06, Asset Protection Associate
19,4.0,"Former Employee, more than 1 year",great,"I enjoy using the mass email blast to remind my clients about promotions, discounts, etc. i think it's definitely worth the monthly spend! it keeps my day-to-day business steady and organized.","When an appointment is upcharged during service , the amount due is reverted back to the original booking causing the business to lose money.",2021-11-26, Customer Service Representative
20,4.0,"Current Employee, more than 3 years",Free Schooling,"Able to meet some interesting characters.
Free Schooling benefits for pt and ft employees through the Live Better U! education program.
Flexible with scheduling my days off.","Leadership can be difficult to work for at times.
Easy to get ""lost in the crowd"" with so many employees.
Quite a bit of rules and regulations that are fireable offenses.",2021-11-25, CAP2 Associate
21,5.0,Former Employee,Decent part time job!,"Decent money
Excellent benefits
Growth opportunities
Flexible schedule","Mixed leadership
General public 
Negative company perception",2021-11-27, Stocking Associate
22,2.0,Current Employee,Not the most motivated place to work,"Good benefits
Co-workers become family
Good resources on the company portal
Continuing education resources
There's a great push on Diversity and Inclusion in the Metro areas","Aggressive company to rank among the retail work
Associates pay isn't the best 
Upper management has a lack of compassion towards associates and/or lower management
No work/life balance once you have reached salary position
Not a lot of talent that gets promoted
Always playing catch up and never able to teach and train",2021-11-14, General Merchandise Manager
23,4.0,"Current Employee, more than 5 years",Great Starting Job,"When i first started, i liked working for walmart. they are a great place to work with good pay for a starting job or some people make a career out of it. they also will assist in paying to help further your education which i think is great.","some of the downsides i found over my almost 6 years is the community. each store is way different than the rest which can be good but how some stores do things and manage situations is different from other stores. at the time that im writing this, there is a lot of logistical problems going on. so a problem is that customers would come in expecting items to be there and they arent. this has become a nightmare for associates. 

Another big con i have found is the management training. salaried management goes through the same training and is pretty universal. the lack of training i have found is in the team leads. to me it seemed like there was little leadership training and more task delegation training to fit that boss or manager role and not the ""team leader"" role.",2021-11-21, Ecommerce Associate
24,2.0,Current Employee,Job is not worth the headache,"- the money is some of the best in this city for a job with no experience required
- it is simple to learn
- work never really changes, always the same. Sometimes there is more to stock, sometimes less","- management does not work well with associates and themselves (There is no communication and suggestions by associates to management for improving processes will be ignored)
- High expectations for stocking times despite not having enough staff/ not scheduling enough staff
- Management consistently lies and corporate policy is either disregarded or not followed
- they discourage you from using the time off you have EARNED and threaten reprimanding you if you leave early by using this time in the guise of ""productivity"".",2021-11-16, Overnight Stocker
25,1.0,"Current Employee, less than 1 year",a racist company to work for!,"overall, has some great benefits!",management and departments forced to good employees!,2021-11-26, Seasonal TA
26,5.0,"Current Employee, less than 1 year",Easy Money,"Easy Money. Relaxed atmosphere. Good Exercise. Hour Lunch and 2, 15min, breaks. Nice Managers. Helpful Co-Workers. No Customers for most of the night so unbothered work.","On feet all night, lifting, bending, squatting, and climbing. Some naggy coworkers",2021-11-27, Overnight Stocker
27,3.0,"Current Employee, less than 1 year",Can get overwhelming at times but decent pay,"$14 an hour starting pay.
Depending on what role they have you some are easier than others. 
- Dispensing: Bring the order out to the customer.
- Staging: You help organize the location of customers' orders for the dispensers.
- Picking: You go out throughout the store and pick the customer's orders. 

Our store is not always running at full capacity and we have to shut down because we simply do not have enough people. 

There really aren't that many pros other than $14 an hr.","Generally the whole business strucutre in terms of managemnt/leadership.
Sometimes impolite customers but Online Pickup and Delivery (OPD) customers are generally better than the sales floor customers.

Dispensing can and will get tiring, sometimes it feels like people be ordering the whole store. 9/10 times a customer's item in an order will be substituted. Our job is 100% reliant on technology, if there are system shut downs it's gonna be a long day.

Team leads are constantly nagging you to stay busy. Sometimes making you do busywork. 

getting pulled to do stocking or do front-end returns.

Working at Walmart in general has a high turnover. I don't recommend working for Walmart for a long time. No one ever stays long enough to get good at what they do.",2021-10-05, Online Personal Shopper
