,rating,employee_type,review,pros,cons,date,job title
0,5.0,"Current Employee, more than 1 year",Great place for work & culture,"Great management
Plenty of PTO
Tons of career advancement opportunities",Intense schedule sometimes due to turnover,2021-11-25, Treasury Management Sales Analyst
1,4.0,"Current Employee, more than 3 years",Pros and some Cons,"Amazing Pay and Benefits, Great Accommodations for disabled, Strong military recruitment pathways, extremely charitable for social impact organizations and the community. Depending on team you get on Work Culture can be great.","Training has been non-existent for many of us, Computer Based Training covers big ticket items, but day to day duties is barely touched by direct managers or peers. Many learn as you go. Acronym Soup, and the language used means different things across different groups within the organization which causes confusion. Work Life balance can be breached because of Fire Drills and excess meetings. There are excess meetings with no breaks during the work day which means everyone on calls are doing work during meetings to meet deadlines and are half engaged in the calls.",2021-11-25, Business Initiatives Consultant III
2,5.0,Current Employee,good working environment,"Everyone is really friendly, work environment is great",can get a bit repetitive,2021-11-24, Sales Representative
3,5.0,Former Employee,Great company,great pay great hours great benefits,unfortunately laid off due to lack of funds,2021-11-24, Compliance Manager
4,5.0,Current Employee,Wells Fargo,Good work life balance- paid time off,"Too big , when you have an issue it can take days to fix",2021-11-24, Recruiter
5,5.0,"Former Employee, more than 3 years",Good Bank to work for,Customer Experience is the main priority,Hard to move up within the company,2021-11-24, Lead Teller/Supervisor
6,4.0,Former Employee,good,working with a lot of different people,"easy to get fired, if you mess up.",2021-11-24, Bank Teller
7,4.0,Current Employee,Good Team,Great teammates to work with,Restrictions for trading of stocks and derivatives,2021-11-25, Anonymous Employee
8,5.0,Former Employee,Teller Pay,"Fair Pay, Good Vacation, Room to Grow",Very busy all the time,2021-11-23, Teller
9,5.0,"Former Employee, more than 1 year",good place to work,"Good environment, all employees are friendly.",have to meet Sales quotes,2021-11-23, Personal Banker
10,5.0,"Current Employee, more than 1 year",Great place for work & culture,"Great management
Plenty of PTO
Tons of career advancement opportunities",Intense schedule sometimes due to turnover,2021-11-25, Treasury Management Sales Analyst
11,4.0,"Current Employee, more than 3 years",Pros and some Cons,"Amazing Pay and Benefits, Great Accommodations for disabled, Strong military recruitment pathways, extremely charitable for social impact organizations and the community. Depending on team you get on Work Culture can be great.","Training has been non-existent for many of us, Computer Based Training covers big ticket items, but day to day duties is barely touched by direct managers or peers. Many learn as you go. Acronym Soup, and the language used means different things across different groups within the organization which causes confusion. Work Life balance can be breached because of Fire Drills and excess meetings. There are excess meetings with no breaks during the work day which means everyone on calls are doing work during meetings to meet deadlines and are half engaged in the calls.",2021-11-25, Business Initiatives Consultant III
12,5.0,Current Employee,good working environment,"Everyone is really friendly, work environment is great",can get a bit repetitive,2021-11-24, Sales Representative
13,5.0,Former Employee,Great company,great pay great hours great benefits,unfortunately laid off due to lack of funds,2021-11-24, Compliance Manager
14,5.0,Current Employee,Wells Fargo,Good work life balance- paid time off,"Too big , when you have an issue it can take days to fix",2021-11-24, Recruiter
15,5.0,"Former Employee, more than 3 years",Good Bank to work for,Customer Experience is the main priority,Hard to move up within the company,2021-11-24, Lead Teller/Supervisor
16,4.0,Former Employee,good,working with a lot of different people,"easy to get fired, if you mess up.",2021-11-24, Bank Teller
17,4.0,Current Employee,Good Team,Great teammates to work with,Restrictions for trading of stocks and derivatives,2021-11-25, Anonymous Employee
18,5.0,"Former Employee, more than 1 year",good place to work,"Good environment, all employees are friendly.",have to meet Sales quotes,2021-11-23, Personal Banker
